Class,Count
BBM,9
Bemanningspoolen,9
Bogstedt Bil,9
Castellum,9
Coor,9
EA,9
Elite Grand Hotel,9
FSAB,9
Front Fasadgruppen,9
Halmstad,9
Hestra,9
Hogbergs Buss AB Uppsala,9
ICA Bomben,9
IR,9
JOCR Media,9
KYL Teknik,9
LGP Byggservice AB,9
Lillebil,9
Little Italy Barbershop,9
MCR,9
Markentreprenad,9
Maxxis Tyres,9
NSFastigheter,9
NSgastro,9
OWB,9
Storkökside,9
Tele2,9
Toarps Plåtslageri AB,9
Torrbollen Home,9
Transschakt,9
Uppsala Handelsstål,9
VicApta,9
ginatricot,9
Bostjärnan,8
Bricmate,8
Cupra,8
Easypartner,8
Formenta,8
Glimstedt,8
Gäsene Mejeri,8
Hotel Carlshamn,8
Humidus,8
Kappahl,8
Kristina,8
Leijon,8
MOH-Maya,8
Marielunds VVS,8
Mediaflow,8
Notar,8
Paroy,8
Railway System,8
Rendo,8
SDX,8
Seniorarbeten,8
Skrot Centralen,8
Smart Rail,8
Stena Fastigheter,8
Stigma,8
Syncify,8
Thermia,8
Ventex Entreprenad AB,8
Wilson Creative,8
easyform,8
friskis,8
4 Office,7
AF Gruppen,7
Aprofit SE,7
Asfalt i Göteborg AB,7
BBS Stål & Metaller,7
Bendt Bil,7
Coop,7
El Linjen AB,7
Frejs,7
Fyhrs,7
GBJ bygg,7
GipsProffsen,7
Larsson & Karlsson Elinstallationer AB,7
Meritum,7
OHLSSONS,7
Office,7
Revisorsgruppen,7
Skubbet,7
Solhemsgruppen,7
Stena Stål,7
Swedbank,7
Tujo AB,7
Uppsala Brygghus,7
Uppsala Kommun,7
VVS Fålhagen,7
Värnamo Kommun,7
kreativ teknik,7
AB Karl Hedin,6
B Bodin Bygg & Byggledning AB,6
Best Western,6
Betongteknik i Mälardalen AB,6
Bjäre Chips,6
Bofast,6
Din Maskin,6
Golvabia,6
Kvik,6
Locads,6
Lundebergs Fastigheter,6
NordiQ Group,6
Serve You,6
Sollentuna Emballagehantering AB,6
Upsala GK,6
Vinga Group,6
Vinnergi,6
Värnamo Nyheter,6
Wilssons,6
Winpos,6
WinsthGolv & Kakel,6
eQuality Fönster AB,6
milael,6
Østuna Shackt & Transport AB,6
3stepIT,5
Blyckert & Börjesson Måleri AB,5
Djurö Grävmaskiner AB,5
EL VVS,5
EXE Måleri,5
Elgiganten,5
Finnvedens Expresstransport,5
Gothia Cup,5
HSE,5
Holmbergs,5
Husvagns Expo,5
Jowema,5
Molins,5
Sanering,5
Stema,5
SveBag,5
Säkra,5
TISAB,5
Tången,5
Villalivet,5
VärnaBo Fastigheter AB,5
Wohlins,5
amber advokater,5
.DOT,4
AllOffice,4
AllTransport,4
Asplunds Bygg,4
Betongkompaniet i Stockholm AB,4
Boards,4
DOXA,4
DynaMate,4
Finnvedens Trafikskola,4
Flytgolv i Landskrona AB,4
Gorilla Glue,4
HTC Högtryckscenter i Väst AB,4
HangOn,4
IP Produkter AB,4
Inneklimat Värnamo,4
Klarin´s Rör,4
Lundby Plåt,4
MBF AB,4
NP Nilsson,4
Panasonic,4
Passera,4
Power Automation,4
Puma tekst,4
Saljfast,4
Sanero,4
TSG,4
Triller Mat & Bröd,4
UFS,4
WD-40,4
enigma,4
everbrand sweden.,4
AGB Service,3
AVIX,3
BLT,3
BabyBjörn,3
Babylon Pizzeria,3
Cuebid,3
Däck Partner,3
Ekerum Resort Öland,3
Elgrossisten Holmro,3
Ergoseat,3
Ernst Textil,3
Escape Travel,3
FVB,3
Ivar Svensson Trafik AB,3
Jour,3
Kranpunkten,3
Lindbytvätten,3
MABI,3
MIN,3
Mellinger Bil,3
Mellinger Fastigheter,3
Norima,3
One More,3
PreFast,3
Rivare,3
SHARP,3
Salboheds,3
SealEco,3
Sultan Kolgrill & Meze,3
Söderbergs Bil,3
Tegnanders Fastighets AB,3
The Central Bar,3
Work System,3
Åke Ekstrand Byggnads,3
Alvinssons AB,2
Arken,2
Beijer Byggmaterial,2
Brandtown,2
Dick Johansson Skogstransporter AB,2
EXIN,2
Elektriske Svea,2
Ellénius Buss,2
Finnveden NU,2
Fransson Bygg AB,2
GOTSAFE,2
Gaismeister AB,2
Hansson Kapell AB,2
ICA,2
Infometric,2
Kappex AB,2
Kopparberg,2
Kvarteret GIRAFFEN,2
Leads,2
Lesjöfors,2
Lotus Hotel Group,2
MFF Play,2
Mattr,2
Nike tekst,2
OnePartnerGroup,2
PEAB,2
PacsOn,2
Pinewood,2
Prison Island,2
Sirius,2
Stayhot,2
Steelpro,2
Stena,2
Svenska Höjdbolaget,2
Södertörns Däckservice AB,2
TTM,2
Varbergs Stadshotell & Asia Spa,2
Varis Förvaltning,2
Werna Sportfiske AB,2
duoplåt Plåtslageri,2
Alvelid Engineering,1
BDS,1
Björklunds Kafferosteri tekst,1
Borås Tidning,1
Brunna Schakt,1
Böda Sand,1
CS Maskin,1
Craft tekst,1
Dinner 22,1
EL & Energioptimering,1
Elektrikerna i Nybro,1
Elitdecor,1
Fem Hjärtan Fastigheter,1
Forenede Care,1
Hammarby Construction AB,1
Hammarstedt's Kyl & Inneklimat AB,1
Hanninge Terrazzology AB,1
Herrljunga cider,1
Hotel Plaza,1
Högberg Buss AB,1
IGS Capital,1
InfoPrint,1
K-V Bygg,1
Kalmar Sotning & Ventilation AB,1
Kvibergs Överskottslager AB,1
Kvinner For Fred,1
LK Buss AB,1
LM Stålteknik AB,1
Libergs Sweden AB,1
Mizuno,1
Nordström Advokater,1
Norén & Lindholm,1
Olle Lind Golv AB,1
Oscar Hansson VVS,1
Presto,1
Ronneby Brunn,1
SAB,1
SE sol,1
Saschas Familjearbete AB,1
Skylt-Reklam,1
Snickeriportalen,1
Solel,1
Sportway logo,1
Stranda,1
Sundtorps Gård,1
TISAB Tak,1
Tarkett,1
Teleoption,1
The Mobile Life,1
UCS IT Solutions,1
West Timber,1
Yaskawa,1
j:retail,1
